id,lat,lon,link
1,34.909568,38.991521,http://donate.handicapinternational.be/fr/projet/syrie-3-ans-de-conflit
2,32.038198, 35.216177,http://www.actioncontrelafaim.org/fr/content/territoire-palestinien-occupe
3,10.473390, -10.797727,http://www.unicef.fr/pages/landingpage/EBOLA/index.html?gclid=Cj0KEQiAqYCkBRC4xNiSu5-Y-PcBEiQA96OM9HhMUqQEHhXwKCWlcYDSmN0NvP2bi9L1hg3KyYH9yPIaAs-m8P8HAQ
4,9.554772, 8.194058,http://www.unicef.fr/pages/landingpage/EBOLA/index.html?gclid=Cj0KEQiAqYCkBRC4xNiSu5-Y-PcBEiQA96OM9HhMUqQEHhXwKCWlcYDSmN0NvP2bi9L1hg3KyYH9yPIaAs-m8P8HAQ
5,14.404424, -14.505146,http://www.unicef.fr/pages/landingpage/EBOLA/index.html?gclid=Cj0KEQiAqYCkBRC4xNiSu5-Y-PcBEiQA96OM9HhMUqQEHhXwKCWlcYDSmN0NvP2bi9L1hg3KyYH9yPIaAs-m8P8HAQ
6,6.324517, -9.399779,http://www.unicef.fr/pages/landingpage/EBOLA/index.html?gclid=Cj0KEQiAqYCkBRC4xNiSu5-Y-PcBEiQA96OM9HhMUqQEHhXwKCWlcYDSmN0NvP2bi9L1hg3KyYH9yPIaAs-m8P8HAQ
7,8.607039, -11.748377,http://www.unicef.fr/pages/landingpage/EBOLA/index.html?gclid=Cj0KEQiAqYCkBRC4xNiSu5-Y-PcBEiQA96OM9HhMUqQEHhXwKCWlcYDSmN0NvP2bi9L1hg3KyYH9yPIaAs-m8P8HAQ
8,17.866956, -2.140406,http://www.unicef.fr/pages/landingpage/EBOLA/index.html?gclid=Cj0KEQiAqYCkBRC4xNiSu5-Y-PcBEiQA96OM9HhMUqQEHhXwKCWlcYDSmN0NvP2bi9L1hg3KyYH9yPIaAs-m8P8HAQ
9,48.876771, 31.545419,https://www.croix-rouge.fr/Je-donne/Don-ponctuel?elk_daf_code=UA106
10,-9.511013, -51.818197,http://www.planfrance.org/parrainage
11,19.163752, 103.196883,https://dons.medecinsdumonde.org/abov/abovision2.php?P1=MDM&P2=DEF2&PG=FAIRE1DON&typabo=1&PROMO=146202&utm_source=CN14&utm_medium=Landing%20Page&utm_campaign=MDMFA14
12,18.900009, -72.252077,https://dons.solidarites.org/a/mon-don
13,46.711090, 2.630969,http://donenligne.secours-catholique.org/abov/abovision2.php?PG=FAIRE1DON&P1=SCC&P2=ALL_URGE&typabo=1